Date,AAPL,GOOGL,FB,MSFT,AMZN
2014-11-05,108.860001,555.950012,74.83000200000001,47.860001000000004,296.519989
2014-11-06,108.699997,551.6900019999999,75.260002,48.700001,296.640015
2014-11-07,109.010002,551.820007,75.599998,48.68,299.859985
2014-11-10,108.83000200000001,558.22998,75.0,48.889998999999996,305.109985
2014-11-11,109.699997,561.289978,74.610001,48.869999,312.01001
2014-11-12,111.25,558.25,74.720001,48.779999,311.51001
2014-11-13,112.82,556.4400019999999,74.25,49.610001000000004,316.480011
2014-11-14,114.18,555.1900019999999,74.879997,49.580002,327.820007
2014-11-17,113.989998,546.6400150000001,74.239998,49.459998999999996,323.049988
2014-11-18,115.470001,544.51001,74.339996,48.740002000000004,324.929993
2014-11-19,114.66999799999999,547.200012,73.33000200000001,48.220001,326.540009
2014-11-20,116.309998,543.76001,73.599998,48.700001,330.540009
2014-11-21,116.470001,545.8900150000001,73.75,47.98,332.630005
2014-11-24,118.629997,547.47998,74.010002,47.59,335.640015
2014-11-25,117.599998,549.22998,75.629997,47.470001,335.040009
2014-11-26,119.0,547.72998,77.620003,47.75,333.570007
2014-11-28,118.93,549.080017,77.699997,47.810001,338.640015
2014-12-01,115.07,539.650024,75.099998,48.619999,326.0
2014-12-02,114.629997,538.590027,75.459999,48.459998999999996,326.309998
2014-12-03,115.93,536.969971,74.879997,48.080002,316.5
2014-12-04,115.489998,542.580017,75.239998,48.84,316.929993
2014-12-05,115.0,528.080017,76.360001,48.419998,312.630005
2014-12-08,112.400002,530.72998,76.519997,47.700001,306.640015
2014-12-09,114.120003,536.1099849999999,76.839996,47.59,312.5
2014-12-10,111.949997,528.039978,76.18,46.900002,305.839996
2014-12-11,111.620003,532.1099849999999,77.730003,47.169998,307.359985
2014-12-12,109.730003,521.51001,77.83000200000001,46.950001,307.320007
2014-12-15,108.230003,515.840027,76.989998,46.669998,306.070007
2014-12-16,106.75,498.160004,74.690002,45.16,295.059998
2014-12-17,109.410004,506.450012,76.110001,45.740002000000004,298.880005
2014-12-18,112.650002,514.619995,78.400002,47.52,297.730011
2014-12-19,111.779999,520.039978,79.879997,47.66,299.899994
2014-12-22,112.940002,532.299988,81.449997,47.98,306.540009
2014-12-23,112.540001,538.77002,80.610001,48.450001,306.290009
2014-12-24,112.010002,536.929993,80.769997,48.139998999999996,303.02999900000003
2014-12-26,113.989998,541.52002,80.779999,47.880001,309.089996
2014-12-29,113.910004,537.3099980000001,80.019997,47.450001,312.040009
2014-12-30,112.519997,535.280029,79.220001,47.02,310.299988
2014-12-31,110.379997,530.659973,78.019997,46.450001,310.350006
2015-01-02,109.33000200000001,529.549988,78.449997,46.759997999999996,308.519989
2015-01-05,106.25,519.460022,77.190002,46.330002,302.190002
2015-01-06,106.260002,506.64001500000006,76.150002,45.650002,295.290009
2015-01-07,107.75,505.14999400000005,76.150002,46.23,298.420013
2015-01-08,111.889999,506.910004,78.18,47.59,300.459991
2015-01-09,112.010002,500.72000099999997,77.739998,47.189999,296.929993
2015-01-12,109.25,497.05999800000006,76.720001,46.599998,291.410004
2015-01-13,110.220001,501.799988,76.449997,46.360001000000004,294.73999
2015-01-14,109.800003,505.92999299999997,76.279999,45.959998999999996,293.269989
